restaurant name,cuisine
Humble Grape - Islington, European
Humble Grape - Islington, Wine Bar
Humble Grape - Islington, Vegetarian Friendly
Humble Grape - Islington, Vegan Options
Humble Grape - Islington, Gluten Free Options 
The Oystermen Seafood Bar & Kitchen, Seafood
The Oystermen Seafood Bar & Kitchen, British
The Oystermen Seafood Bar & Kitchen, Gluten Free Options 
Humble Grape - Battersea, European
Humble Grape - Battersea, Wine Bar
Humble Grape - Battersea, Bar
Humble Grape - Battersea, Mediterranean
Humble Grape - Battersea, British
Humble Grape - Battersea, Vegetarian Friendly
Humble Grape - Battersea, Vegan Options
Humble Grape - Battersea, Gluten Free Options 
Amrutha Lounge, Indian
Amrutha Lounge, Asian
Amrutha Lounge, Healthy
Amrutha Lounge, Vegetarian Friendly
Amrutha Lounge, Vegan Options
Amrutha Lounge, Gluten Free Options 
Oliveira Organic Vegetarian Kitchen, International
Oliveira Organic Vegetarian Kitchen, European
Oliveira Organic Vegetarian Kitchen, Contemporary
Oliveira Organic Vegetarian Kitchen, Healthy
Oliveira Organic Vegetarian Kitchen, Vegetarian Friendly
Oliveira Organic Vegetarian Kitchen, Vegan Options
Oliveira Organic Vegetarian Kitchen, Gluten Free Options 
Pizza Union Dalston, Italian
Pizza Union Dalston, Pizza
Pizza Union Dalston, Fast Food
Pizza Union Dalston, Vegetarian Friendly
Pizza Union Dalston, Vegan Options
Pizza Union Dalston, Gluten Free Options 
Morso, Italian
Morso, Bar
Morso, European
Morso, Mediterranean
Morso, Contemporary
Morso, Vegetarian Friendly
Morso, Vegan Options
Morso, Gluten Free Options 
Core by Clare Smyth, French
Core by Clare Smyth, Irish
Core by Clare Smyth, European
Core by Clare Smyth, British
Core by Clare Smyth, Contemporary
Core by Clare Smyth, Vegetarian Friendly
Core by Clare Smyth, Vegan Options
Core by Clare Smyth, Gluten Free Options 
Buongiorno e Buonasera, Italian
Buongiorno e Buonasera, Pizza
Buongiorno e Buonasera, Deli
Buongiorno e Buonasera, Healthy
Buongiorno e Buonasera, Vegetarian Friendly
Buongiorno e Buonasera, Vegan Options
Buongiorno e Buonasera, Gluten Free Options 
Purslane Restaurant, French
Purslane Restaurant, British
Purslane Restaurant, Scottish
Purslane Restaurant, European
Purslane Restaurant, International
Purslane Restaurant, Vegetarian Friendly
Purslane Restaurant, Vegan Options
Purslane Restaurant, Gluten Free Options 
Nok's Kitchen, Asian
Nok's Kitchen, Thai
Nok's Kitchen, Vegetarian Friendly
Nok's Kitchen, Vegan Options
Nok's Kitchen, Gluten Free Options 
Fazenda Rodizio Bar and Grill, Steakhouse
Fazenda Rodizio Bar and Grill, Barbecue
Fazenda Rodizio Bar and Grill, Vegetarian Friendly
Fazenda Rodizio Bar and Grill, Vegan Options
Fazenda Rodizio Bar and Grill, Gluten Free Options 
Edinburgh Food Studio, European
Edinburgh Food Studio, British
Edinburgh Food Studio, Scottish
Edinburgh Food Studio, Vegetarian Friendly
